WARN  [2018-05-02 11:01:19,925][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-05-02 11:45:10,391][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-05-02 14:24:35,123][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-05-02 14:42:07,186][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-05-02 14:48:02,692][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-05-02 15:13:29,212][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-05-02 15:16:17,620][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-05-02 15:18:06,448][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-05-02 15:19:20,445][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-05-02 15:20:05,964][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-05-02 17:16:46,017][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-05-02 17:49:58,012][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-05-02 18:27:50,340][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-05-02 21:13:09,333][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-05-02 22:22:56,369][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-05-02 23:15:51,309][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
